Gene	b0359	s0018	s0107	s0183	b0318	b0383	b0499	s0026	s0060	s0104	s0200	b0370	s0025	s0109	s0190	b0326	b0404	b0502	s0035	s0067	s0138	s0201	b0251	b0387	s0042	s0116	s0204	b0334	b0512	s0037	s0071	s0141	s0205	b0305	b0394	s0080	s0136	s0210	b0339	b0427	b0515	s0040	s0077	s0154	b0327	b0421	s0087	s0146	s0229	b0340	b0428	b0521	s0046	s0084	s0162	b0336	b0551	s0100	s0175	b0165	b0341	b0433	b0566	s0047	s0086	s0168	b0338	s0004	s0101	s0176	b0241	b0374	b0434	s0006	s0050	s0088	s0170	b0344	s0013	s0106	s0181	b0243	b0382	b0494	s0019	s0059	s0103	s0177	b0626	s0001	s1511	b0671	b0627	s1551	b0504	b0672	s0055	s1616	b0679	s0350	b0252	b0542	b0694	b0519	b0565	b0772	b0554	b0664	b0244	b0574	b0556	b0667	s0132	b0354	b0629	s0033	b0668	s0195
CCL5	-0.4289415	1.6056425	0.7695385	2.3358485	-0.9512825	1.1240205	-0.4749275	-1.1185325	-0.0213655	-1.2193465	-0.3434975	-0.6353775	1.6265595	0.0213655	1.7258985	1.0647775	-0.6249405	1.1311755	-0.8111725	-1.2902265	2.0458915	-0.0308755	-1.5288075	0.5609115	3.3667625	1.6945155	0.6026305	1.1338175	0.0446155	-1.5542825	2.3567325	-2.0408825	-0.6843315	1.4259715	1.9838095	0.2915985	3.1017955	1.5114255	-1.0551675	1.1654535	4.4070925	-0.7815185	-0.4306305	0.0903675	3.1264335	-1.4123455	1.5744165	-1.3271285	0.9219615	1.1565905	-1.4225495	0.1214275	0.6861015	1.6599135	-0.6503435	-0.7915255	-1.0386275	-0.8707415	0.8009615	0.4930535	-0.9980085	1.3221625	-0.9761235	-1.6048695	-1.6163815	-1.0837795	-0.4588575	2.5297045	0.8670805	1.1869055	1.6668015	-0.8456745	1.8401525	-1.3085095	-1.1691085	-1.8934725	-1.8188275	1.5402845	1.0361855	-0.2157125	-1.2493405	2.7470925	1.6192435	1.8576465	-0.0332435	-0.0630205	0.0602115	1.6540815	-0.2780215	0.4447195	-0.4157525	-1.8878785	-0.0845045	-1.1524705	3.4733885	1.0302145	-1.2069435	-0.2267665	0.2510625	-1.0204615	1.0767545	-0.0459705	-1.5554615	1.1442795	-1.1967505	1.0844635	1.1495475	-1.5340415	1.0852935	3.3499765	-0.5093905	-0.8565025	-0.8086615	1.1337515	-1.1001095	-1.3108765	-1.4100575	2.5308585
EPHB3	3.091833	0.03853	-0.545557	0.6316	-0.017768	0.126726	0.398505	1.360812	-0.711411	0.619378	-0.205812	1.711822	-0.676382	-0.034431	-1.027802	0.827606	-0.277454	-0.551711	0.585822	0.69352	1.740352	1.845538	-0.596997	2.149843	-0.605695	-0.160008	-0.364075	-0.450723	1.522945	0.426051	0.621898	1.280914	0.057572	2.207877	2.674492	2.059472	2.653089	1.09451	0.27853	-0.789882	-0.386987	1.673427	1.216672	1.250188	1.017228	1.587756	0.31659	0.538866	1.764356	-0.169837	-0.372457	-0.340336	-0.47064	0.799693	0.91222	-0.193592	-0.03932	0.723181	-0.205405	0.166233	-0.924517	1.701379	-0.735175	-0.447013	1.736134	-0.092244	2.453757	-0.345283	1.496357	-0.985634	0.695539	-0.088537	0.016752	-0.205516	-0.585312	-0.034212	-0.579393	0.126399	1.444595	-0.688926	2.172518	-0.947727	-0.488611	1.347533	-0.604434	-0.423632	-0.319155	-0.382019	-1.025774	-0.689534	0.342019	0.692067	1.915971	-0.11735	0.155602	-0.016752	-1.123747	1.330971	-0.303915	-0.550683	-0.844867	-1.352784	2.343721	0.020625	-0.071935	0.262804	1.443207	1.170212	-0.316635	-1.231748	-1.000993	3.471714	-0.436356	-0.374465	-0.619738	-0.575953	0.559808	-0.822789
CYP2A6	-0.16654	-0.224198	-0.19815	-0.049186	-0.054205	0.059044	-0.107696	0.165575	3.079603	0.032562	8.056143	0.101796	0.637265	-0.21441	0.122433	-0.13985	-0.00259	-0.095295	0.026434	0.419248	-0.199042	0.485822	0.151493	-0.025402	0.116737	0.017124	0.084129	4.142023	-0.483477	-0.180494	0.009515	-0.071608	-0.018213	-0.273862	-0.373261	-0.252326	-0.208084	0.104659	-0.076062	-0.291183	0.120047	0.117939	0.04487	-0.031139	-0.316926	-0.144729	1.355851	-0.321229	-0.215204	0.121489	0.59373	0.315647	-0.076808	-0.025904	2.815956	0.525609	-0.08689	-0.109736	-0.091707	0.094756	0.187816	0.00259	-0.204878	0.495368	-0.081158	0.383833	-0.03121	-0.277334	0.009497	0.342892	-0.023794	-0.182989	-0.004996	1.054958	0.036207	0.013935	0.037372	0.682308	-0.144994	0.253961	0.300909	0.981096	-0.055808	0.299356	0.425011	0.437968	0.392573	2.827097	-0.139626	-0.390286	-0.203679	-0.383232	0.538231	0.261974	-0.12095	-0.206543	0.255827	0.277669	-0.058287	6.898504	1.020014	0.166801	1.297522	-0.074097	1.04709	-0.20587	-0.398321	-0.307519	0.405451	-0.072106	0.164491	-0.369509	0.185414	-0.126966	-0.105358	-0.089636	-0.396433	-0.073861
GDI2	1.854256	0.074974	-0.56633	1.651335	0.286039	-0.75879	-0.818152	-0.673678	-2.537699	-1.013656	-0.971092	1.478353	-2.196351	0.294612	-0.128113	-0.160561	0.003971	-0.445469	-0.560885	-1.688189	1.049719	-0.616517	-3.161418	-0.807374	-1.175614	-0.140808	1.105006	0.569037	1.624377	-0.432917	-0.02716	-0.271383	-1.360163	1.117722	0.609009	0.887136	0.619685	-0.210538	0.042829	1.545304	-0.377435	-0.404448	-0.100953	0.103536	0.885802	0.370941	0.037015	0.114018	-0.140654	0.103083	-1.311779	0.862719	-0.384102	1.019915	0.282188	0.286484	-0.808362	0.071553	0.726977	-1.184049	-0.613176	-0.356909	1.018317	1.181719	0.579823	-1.74245	0.234608	1.268563	1.664049	-1.836895	-0.239508	1.266684	-0.542344	-2.130552	-0.139166	0.526624	-0.554328	0.36645	0.688431	0.405801	-1.019151	-0.910417	0.562173	0.499304	-0.78611	-1.376736	-1.720525	0.364534	0.057766	1.647186	0.474599	1.453938	0.911241	-2.143008	0.76985	1.259616	0.606257	-0.788354	-0.770398	-0.452874	-1.977029	0.225435	2.090282	1.405723	1.019305	-0.274482	2.134157	-0.086377	-1.928185	-0.337071	-1.234473	2.32784	-0.326966	-1.197047	-0.402755	0.411546	1.442507	-0.003971
PRKAR1A	-0.0862225	0.2571165	0.0605865	-0.4305655	0.3817675	0.0753315	-0.4539815	-0.4595375	-0.4950405	0.4427905	-0.9660695	0.9527865	-1.6354435	1.0804535	-0.9278965	1.5405025	-1.2074015	0.2420415	-0.2061325	-1.4212415	0.4727465	-1.1367785	-1.0733645	-0.5447105	-1.8442055	-0.4772415	1.0703045	0.3867085	0.8217095	0.1866195	-0.5926505	0.2989825	-1.0262145	0.7972125	0.4889335	0.6300835	0.3595135	-1.4413695	0.3944795	1.0938075	-1.0406845	-0.3021605	-0.1213215	-1.0506925	0.5273585	0.6867755	-2.9847055	-0.5439595	0.3541095	0.0168095	-1.3967655	0.8453945	-1.9569725	-0.5228465	0.6855975	-0.0168095	-1.3538225	0.6058285	-0.8213905	-0.5735535	-0.5074005	-0.7543765	0.7458815	1.1225745	0.2544925	-1.6904455	0.5037255	0.5155855	1.2078115	-2.2413695	-0.1198995	1.1709985	1.2304965	-0.1131535	0.9030005	2.2164785	0.2818335	-0.7724515	-0.0220445	1.3453765	1.4590325	-1.8841385	-0.9201845	-0.2243365	-0.0311555	-1.9817345	-0.7735635	-0.2294845	0.1262195	0.4449035	0.7812375	0.9116695	0.9666585	-1.5729815	-0.1791365	0.5136065	-0.0962075	-1.7830215	-0.4513065	-0.1419045	-1.6203235	0.6158445	0.4150985	0.9933165	1.2152535	0.1244675	1.3507475	0.1851505	-2.4347375	-0.7013995	0.4874085	0.2838365	-0.4287965	-0.1973375	0.8598295	0.5800665	1.9373385	-0.6709745
DSP	0.2342475	1.4328955	0.0639375	0.7685305	0.7815425	0.3346345	-0.3082955	0.4564695	-2.0536305	0.0872235	1.0315075	0.6311065	-0.6081525	-0.0910485	-1.2420905	-0.1446885	-0.9395055	-1.1478125	0.4719535	-0.8703515	-0.3987035	-0.3943345	-1.0375095	0.1732515	-0.4476695	-0.4015225	0.8814365	-0.0585195	0.2688095	0.9835675	-0.8669785	0.3343155	0.0900395	0.4817085	-0.1986425	-0.1333305	0.9567735	1.1108865	-0.1265945	-0.0022845	-0.1728435	0.2269735	0.0655865	0.8273615	-0.0407075	1.1527215	0.2792725	0.2306735	0.2407365	0.1272415	0.4843315	-0.8379345	-0.9196285	0.7428115	-0.1769855	-0.3268485	0.5220555	1.0195505	-0.8705865	0.1602165	-0.5640435	0.3590375	0.2490115	-2.1796745	0.3617695	0.5608455	0.2857395	-0.4482015	0.8604565	-0.7875815	0.6442625	0.2550595	-0.7776285	-0.3957885	0.5704645	-0.0745875	-2.7743175	0.0506515	0.1818185	0.0774895	-0.0934295	-1.0771455	0.1636355	-0.0319435	-0.9778905	-0.2725195	-0.7156805	-2.5718255	-1.5697455	0.7352065	0.4127265	1.6781475	1.0499745	-0.2127885	-0.3809105	-0.4229605	-1.8699615	-0.8206145	0.5326785	-5.0476955	-3.2061215	-0.6971495	-0.2113945	0.2064575	-0.8278825	-0.1917225	0.3646055	0.9580945	0.3214135	-1.3209635	-1.1623525	-0.3434665	0.0022845	-0.9273085	-5.5997505	0.2871235	1.0331115	0.1054455
RAD21	2.3054755	1.8034375	-1.3551845	1.6415295	-0.5126925	1.1806255	-0.3881285	-1.0446895	-0.6547395	0.4843535	-0.5193765	1.0664255	0.2681865	1.6484795	-0.4070375	0.0141685	-1.0362395	-0.7197215	-0.9976295	-1.1619855	0.7529545	0.4024195	-0.0448135	-0.5896505	-0.4065595	-0.2530505	1.3688035	-0.2915255	1.1618685	-0.6884515	-0.3418285	0.6381725	-0.3019955	1.7862075	-0.0779125	-0.2173905	0.3515855	-0.0787495	0.0102825	2.8061535	-0.6813005	-0.2180865	-1.5845455	-0.2595515	0.9944785	-0.0102825	0.4481705	-0.9344705	1.5191585	0.2625965	-0.0917175	-0.2421375	-1.1580005	0.5134825	-0.1664645	0.6793465	1.3086035	-0.9197125	-0.6962385	-0.6880965	-0.4670885	0.6588625	0.2369505	0.3058265	-0.4096105	-0.4492515	0.3336775	0.2180535	0.6899845	-1.7171155	-0.2549815	0.1719585	-0.2241875	-0.8185895	0.9822505	0.1487285	-0.9772665	0.8284605	0.4480995	0.8919525	-0.6116315	-0.2941625	-0.9062625	0.1081275	0.5732105	-0.6711555	-1.5883825	-0.0537745	-1.2269705	1.0987635	-0.5350415	0.4240225	0.2372415	-1.2363665	0.6424685	0.5444545	0.9944335	-0.1884945	0.4989995	0.5243505	-1.9352485	1.2431345	0.0484475	0.6224825	-0.3349935	-2.1347955	0.5490925	0.0606675	0.8644975	-0.1863025	-0.7773845	1.0041115	0.5648485	0.4703855	0.8193885	-0.0412165	1.3623965	0.6015085
WARS	0.3717315	0.9979315	-0.4151605	2.1997345	-0.1313225	-0.2128125	-0.4026315	-0.2100895	-0.9298945	-0.6285845	-0.8022765	-0.3110935	-0.0537325	0.5041595	0.5624405	0.5255225	-0.7246945	0.0986935	-0.7977965	-1.0543465	1.5666765	-0.7817925	-1.4906495	1.7213045	2.0479695	-0.2737715	-0.2442845	0.9945775	1.0886865	-0.3762955	2.1536305	0.0376205	-1.2254265	1.1161675	1.8545295	-0.0312825	1.1224405	-0.0159635	-0.4504075	1.6093495	1.2386245	-0.1769005	-0.1977835	-0.3022885	3.0222415	0.0455775	0.7945345	-0.3358925	-0.4039385	1.0363265	-1.1848345	-0.1890605	-0.6891075	1.0885275	-0.3805955	0.0157855	-0.7519415	-0.3748455	0.4622225	-0.7371935	-0.3845255	0.0534685	0.1910065	0.1100485	-0.4545155	-0.9184535	0.1727675	1.0193225	1.4178925	-0.7575175	-0.2524655	-0.1104725	0.6342315	-1.2431875	0.0119855	0.0267185	-0.5347225	0.4655365	1.0949235	-0.1396905	-0.3580865	-0.0939455	0.1183045	0.8876055	0.2012535	-0.4972655	-0.8790455	-0.1998685	-0.5725405	1.3149775	-0.0119855	0.2216575	0.2871005	-0.0340145	2.4074665	0.9802975	0.0805925	0.8638205	-0.6995195	-0.7033775	-0.8998165	0.5752955	0.0469695	0.7168015	0.6088055	-0.1517855	0.4490285	-0.9105975	0.8314635	1.8046035	-1.5404325	0.7169745	-2.2105885	0.0293435	0.4010615	-0.1861535	0.6022125	1.3632595
NDRG1	1.572175	2.603581	-0.301061	0.013278	0.075443	-0.322977	0.64232	-0.829538	-0.061934	0.985104	-0.871539	-0.676576	-0.552726	-0.056557	1.334237	-0.183147	-0.982416	-1.214852	-0.602826	-0.962255	0.629676	0.819083	-0.806553	0.054046	0.098108	0.189214	0.489313	-0.538869	0.011516	-0.287035	-0.41768	-1.083561	-0.825328	1.774934	0.901293	-0.736798	2.148784	1.326154	-0.20733	1.513508	1.160418	-1.010936	-0.987597	1.41753	2.353067	0.214938	2.303406	-0.279522	-0.021518	-0.061998	0.224075	-0.283292	0.022858	0.681494	0.17194	1.713291	1.009838	-0.977288	0.024426	-0.036681	-1.755457	2.504322	0.243309	-0.872168	-1.186843	-1.513082	1.622328	0.676286	2.906563	0.333143	-0.341689	-0.573658	0.307474	-0.68115	-1.295569	-0.230544	-1.334147	1.233269	2.750731	-0.659778	0.264759	0.191492	1.309112	2.639201	-0.247989	0.223471	-1.333853	-1.155268	-0.126137	0.689316	1.461212	-0.784338	0.053256	-1.002949	0.424564	1.377802	0.910115	-0.047389	1.730953	-0.997963	0.037225	0.62759	2.323086	-0.509174	-0.527879	0.529177	0.073852	-0.687715	1.353204	-0.143382	-1.020004	2.012942	-1.618512	-0.340789	-0.229957	-0.469736	-0.171852	-0.011516
PTPRF	1.161206	2.281559	-0.389489	-0.061566	-0.572788	-0.062335	-0.71654	-0.160239	-1.180608	-0.091884	0.060313	0.939248	-1.060371	0.117844	-0.175542	0.014532	0.538639	-0.661563	-0.305521	-0.340352	0.422812	0.481147	-1.837859	0.547107	-0.986806	0.070368	0.766531	0.810736	0.440088	1.306831	-0.111284	-0.063503	-0.327344	0.87793	0.692659	0.024056	1.533896	1.175921	0.129968	-0.5641	-0.178015	-0.019265	-0.37194	0.079606	0.485891	-0.180628	1.188865	0.631204	0.501265	-0.014532	-1.321497	-0.120377	-1.641482	-0.255699	0.277358	-0.734615	0.712418	-0.412608	0.683143	-1.291718	-1.590865	0.490915	-1.073862	0.186675	-0.149088	-0.955796	0.632744	-0.155613	1.150734	0.843883	-0.691681	0.150559	-0.595552	-1.168183	0.144201	0.885311	0.108897	-0.287667	0.987854	-0.593179	0.036357	-2.470141	0.704097	1.608328	-0.563876	-1.165167	-1.596748	-1.162847	0.500337	0.945612	0.601471	0.574488	0.43313	-0.416633	-0.25756	0.070843	0.835709	1.376193	-0.072911	-2.302692	-3.542011	-0.400453	1.526912	1.247012	0.079477	-0.913937	0.081114	0.137964	-0.721985	-0.529956	-0.546769	1.545945	-1.308365	0.486602	0.477601	0.230668	-0.225736	-1.394841
